epoch;IoU;acc;kaggle_IoU;loss;lr;val_IoU;val_acc;val_kaggle_IoU;val_loss
0;0.6326640312373638;0.9966761484742165;0.6217454078793526;0.3187675850093365;3e-05;0.6865527947743734;0.9981610178947449;0.6756857057412465;0.2570973979930083
1;0.6686090712249279;0.9969095504283905;0.6583141100406646;0.27659547805786133;3e-05;0.6872813791036606;0.9981167326370876;0.682966963450114;0.25572114860018097
2;0.6654402348399162;0.9969477310776711;0.6558656166493892;0.2803257618099451;3e-05;0.6894352535406748;0.9981738338867824;0.6806348621845245;0.2531564844151338
3;0.6765691447257995;0.99699653506279;0.6667815090715885;0.2662266658246517;3e-05;0.7059010088443756;0.9983407586812973;0.6879133333762487;0.23617272848884266
4;0.6854020936787129;0.99702969789505;0.6760623243451118;0.2569300442188978;3e-05;0.7007089972496032;0.99828320145607;0.6859654237826666;0.2407147616147995
5;0.7038229703903198;0.9971994969248772;0.6940544083714485;0.23662145860493183;5.9999998e-06;0.7197658270597458;0.9983811070521672;0.710449809829394;0.22112729226549466
6;0.7072335901856422;0.9971630096435546;0.6978428021073342;0.2327157374471426;5.9999998e-06;0.7176902770996094;0.9983817060788472;0.7064342051744461;0.223569938292106
7;0.7191297668218612;0.9972561833262443;0.7100210404396057;0.22107583872973918;1.1999999e-06;0.7222915907700856;0.998421311378479;0.7094614475965499;0.21864790047208468
8;0.7123608037829399;0.9972185128927231;0.702555159330368;0.22714716486632824;1.1999999e-06;0.7239743093649547;0.9984206269184749;0.712763034303983;0.21708068152268728
9;0.7114465653896331;0.9971979549527168;0.702196244597435;0.22837839417159558;1.1999999e-06;0.7246724128723144;0.9984365850687027;0.7116346180438995;0.21615732833743095
10;0.7123232486844063;0.9972502726316452;0.7027742424607277;0.22713245183229447;2.4e-07;0.724687322974205;0.9984314153591792;0.7123124450445175;0.21621474400162696
11;0.7138633641600609;0.9972491791844368;0.7045359390974045;0.2258183052390814;4.7999997e-08;0.7245394289493561;0.9984299550453822;0.7122107724348704;0.21637037967642148
12;0.7170771053433418;0.9972283604741097;0.7075713980197906;0.22286745406687258;1e-08;0.7245054632425308;0.9984295338392257;0.712224284807841;0.21638726418217022
13;0.7136196884512901;0.9972215458750725;0.7038906881213188;0.22681493043899537;1e-08;0.7245128949483236;0.9984294493993123;0.712248690923055;0.21638785550991693
14;0.7172474920749664;0.9972814565896988;0.7078724628686905;0.22220273308455943;1e-08;0.7245099057753881;0.9984292586644491;0.712257918715477;0.2164024325708548
